ID;Formula;Compound Name;A;B;C;TMIN;TMAX
999;H20;Water;8;1731;233;1;100
998;H20s;Water;8;1811;244;99;374
1;CCL4;carbon-tetrachloride;7;1220;227;-20;101
2;CCL3F;trichlorofluoromethane;7;1043;237;-33;27
3;CCL2F2;dichlorodifluoromethane;7;782;235;-119;-30
4;CCLF3;chlorotrifluoromethane;6;522;232;-150;-81
5;CF4;carbon-tetrafluoride;7;541;260;-180;-125
6;CO;carbon-monoxide;6;230;260;-210;-165
7;CO2;carbon-dioxide;10;1348;273;-119;-69
8;COS;carbonyl-sulfide;7;804;250;-111;-49
9;CS2;carbon-disulfide;7;1169;242;-45;69
10;CHCL3;chloroform;7;1171;227;-13;97
11;CHCL2F;dichlorofluoromethane;7;996;234;-91;9
12;CHCLF2;chlorodifluoromethane;7;740;232;-48;-33
13;CHF3;trifluoromethane;7;705;250;-128;-82
14;CHI3;triiodomethane;7;1568;204;137;254
16;CH2CL2;dichloromethane;7;1139;231;-44;59
17;CH2CLF;chlorofluoromethane;6;740;232;-55;12
18;CH2F2;difluoromethane;7;822;245;-82;-32
19;CH2I2;diiodomethane;7;1568;204;83;232
20;CH2O;formaldehyde;7;957;243;-88;-2
21;CH2O2;formic-acid;7;1563;247;-2;136
22;CH3BR;bromomethane;7;987;238;-58;53
23;CH3CL;chloromethane;7;902;244;-93;-7
24;CH3F;fluoromethane;7;740;254;-132;-64
25;CH3I;iodomethane;7;1146;237;-13;52
26;CH3NO2;nitromethane;7;1291;209;5;136
29;CH4;methane;7;405;268;-181;-152
30;CH4O;methanol;8;1575;239;-16;91
31;CH4S;methanethiol;7;1016;239;-70;25
32;CH5N;methylamine;7;1079;240;-61;38
33;C2CL4;tetrachloroethene;7;1415;221;34;187
34;C2CL6;hexachloroethane;7;1627;197;33;186
35;C2CL3F3;112trichlorotrifluoroethane;7;1100;228;-25;83
36;C2CL2F4;12dichlorotetrafluoroethane;7;942;233;-95;4
37;C2CLF5;chloropentafluoroethane;7;803;242;-98;-43
38;C2F4;tetrafluoroethene;7;684;246;-133;-63
39;C2F6;hexafluoroethane;7;657;246;-103;-73
40;C2N2;cyanogen;6;577;182;-77;-4
41;C2HCL3;trichloroethene;7;1315;230;-13;127
42;C2HCL5;pentachloroethane;7;1378;197;25;162
43;C2HF3;trifluoroethene;6;491;227;-93;-31
44;C2H2;acetylene(ethyne);9;1233;281;-129;-83
45;C2H2CL2;1,1-dichloroethene;7;1099;237;-28;32
46;C2H2CL2;cis-1,2-dichloroethene;7;1205;231;0;84
47;C2H2CL2;trans-1,2-dichloroethene;7;1142;232;-38;85
48;C2H2CL4;1,1,2,2-tetrachloroethane;7;1228;180;25;130
49;C2H2F2;1,1-difluoroethene;6;491;227;-140;-86
50;C2H2F2;cis-1,2-difluoroethene;5;491;227;-78;3
51;C2H2F2;trans-1,2-difluoroethene;5;491;227;-78;3
52;C2H2O;ketene;7;803;238;-103;-18
53;C2H3BR;bromoethylene;7;1219;264;-88;16
54;C2H3CL;chloroethene;6;783;230;-88;17
55;C2H3CL3;1,1,2-trichloroethane;7;1351;217;29;155
56;C2H3CLO;acetyl-chloride;7;1063;218;-36;82
57;C2H3F;fluoroethene;6;594;243;-149;-72
58;C2H3F3;1,1,1-trifluoroethane;7;788;243;-3;27
59;C2H3N;acetonitrile;7;1279;224;-13;117
60;C2H4;ethylene;7;585;255;-153;-91
61;C2H4BR2;1,2-dibromoethane;7;1281;202;52;131
62;C2H4CL2;1,1-dichloroethane;7;1171;228;-31;79
63;C2H4CL2;1,2-dichloroethane;7;1271;223;-33;100
64;C2H4F2;1,1-difluoroethane;7;910;244;-35;0
65;C2H4I2;1,2-diiodoethane;7;1647;201;98;253
66;C2H4O;ethylene-oxide;7;1115;244;-73;37
67;C2H4O;acetaldehyde;7;1071;236;-63;47
68;C2H4O2;acetic-acid;7;1479;217;17;157
69;C2H4O2;methyl-formate;7;1125;231;-48;51
70;C2H4OS;thioacetic-acid;8;1479;217;40;106
71;C2H4S;thiacyclopropane;7;1194;232;-35;77
72;C2H5BR;bromoethane;7;1091;232;-47;60
73;C2H5CL;chloroethane;7;1013;237;-73;37
74;C2H5F;fluoroethane;7;854;246;-103;-21
75;C2H5I;iodoethane;7;1232;229;30;60
76;C2H5N;ethylenimine;7;1134;210;-25;86
77;C2H5NO2;nitroethane;8;1671;241;-21;114
78;C2H5NO3;ethyl-nitrate;7;1339;225;0;60
79;C2H6;ethane;7;664;256;-143;-75
80;C2H6O;methyl-ether;7;1026;256;-94;-8
81;C2H6O;ethyl-alcohol;8;1652;231;-3;96
82;C2H6O2;ethylene-glycol;9;2615;245;91;221
83;C2H6S;methyl-sulfide;7;1091;231;-47;58
84;C2H6S;ethanethiol;7;1085;231;-49;56
85;C2H6S2;methyl-disulfide;7;1346;219;6;135
86;C2H7N;ethylamine;7;1137;236;-58;43
87;C2H7N;dimethylamine;7;1024;238;-55;37
88;C3H3N;acrylonitrile;7;1208;222;-18;112
89;C3H4;allene(propadiene);6;458;196;-99;-16
90;C3H4;propyne(methylacetylene);7;804;229;-90;-6
91;C3H4O2;acrylic-acid;7;1442;193;42;177
92;C3H5BR;3-bromo-1-propene;7;1260;232;17;93
93;C3H5CL;3-chloro-1-propene;7;1100;226;-43;77
94;C3H5CL3;1,2,3-trichloropropane;7;1484;204;42;197
95;C3H5I;3-iodo-1-propene;7;1317;220;20;142
96;C3H5N;propionitrile;7;1277;218;-3;132
97;C3H6;propene;7;785;247;-112;-32
98;C3H6;cyclopropane;7;856;247;-93;-28
99;C3H6BR2;1,2-dibromopropane;7;1420;212;50;250
100;C3H6CL2;1,2-dichloropropane;7;1296;221;15;135
101;C3H6CL2;1,3-dichloropropane;7;1376;216;34;162
102;C3H6CL2;2,2-dichloropropane;7;1201;226;-6;105
103;C3H6I2;1,2-diiodopropane;6;1507;245;125;275
104;C3H6O;propylene-oxide;7;915;208;-48;67
105;C3H6O;allyl-alcohol;7;1272;188;13;127
106;C3H6O;propionaldehyde;7;1155;229;-38;77
107;C3H6O;acetone;7;1277;237;-32;77
108;C3H6S;thiacyclobutane;7;1321;225;-5;120
109;C3H7BR;1-bromopropane;7;1260;232;-53;71
110;C3H7BR;2-bromopropane;7;1223;237;-62;60
111;C3H7CL;1-chloropropane;7;1121;230;-43;77
112;C3H7CL;2-chloropropane;7;1082;230;-48;67
113;C3H7F;1-fluoropropane;7;965;240;-70;30
114;C3H7F;2-fluoropropane;7;965;240;-49;8
115;C3H7I;1-iodopropane;7;1507;245;-36;103
116;C3H7I;2-iodopropane;7;1340;234;-43;90
117;C3H7NO2;1-nitropropane;7;1467;215;59;131
118;C3H7NO2;2-nitropropane;7;1664;241;-19;120
119;C3H7NO3;propyl-nitrate;8;1722;245;0;70
120;C3H7NO3;isopropyl-nitrate;6;1019;184;0;70
121;C3H8;propane;7;804;247;-108;-25
122;C3H8O;ethyl-methyl-ether;6;504;161;-68;37
123;C3H8O;propyl-alcohol;8;1375;193;12;127
124;C3H8O;isopropyl-alcohol;8;1581;220;0;101
125;C3H8S;ethyl-methyl-sulfide;7;1183;225;-26;90
126;C3H8S;1-propanethiol;7;1183;225;-25;91
127;C3H8S;2-propanethiol;7;1114;226;-37;75
128;C3H9N;propylamine;7;1108;224;-38;77
129;C3H9N;trimethylamine;7;969;234;-58;32
130;C4F8;octafluorocyclobutane;7;862;225;-32;1
131;C4H2;butadiyne(biacetylene);6;461;165;-78;0
132;C4H4;1buten3yne(vinylacetylene);7;957;230;-73;32
133;C4H4O;furan;7;1061;228;-35;90
134;C4H4S;thiophene;7;1246;221;-12;108
135;C4H6;1,2-butadiene;7;1041;242;-26;30
136;C4H6;1,3-butadiene;7;931;239;-58;14
137;C4H6;1-butyne(ethylacetylene);7;989;233;-68;27
138;C4H6;2-butyne(dimethylacetylene);7;1102;236;-30;47
139;C4H6;cyclobutene;7;1009;245;-77;2
140;C4H6O3;acetic-anhydride;7;1428;198;35;164
141;C4H7N;butyronitrile;7;1391;217;34;160
